"cpg_grouping","tile_methode","model_id","dataset","model","organ","rsq_threshold","filter","epse","mae","r_squared_value"
"Point","Point",80,"Validation","Lasso","Fin_clip_caudal","r2_0.05","min10",1,9.66403460671073,0.699972292148148
"Point","Point",81,"Train","Lasso","Fin_clip_caudal","r2_0.05","min20",1,1.64691626924237,0.971223036265749
"Point","Point",81,"Validation","Lasso","Fin_clip_caudal","r2_0.05","min20",1,9.47938692477192,0.673815351857138
"Point","Point",82,"Train","Lasso","Fin_clip_caudal","r2_0.05","min5",1,0.209629167980843,0.999617682038499
"Point","Point",82,"Validation","Lasso","Fin_clip_caudal","r2_0.05","min5",1,7.96123353633066,0.583190447602391
"Point","Point",83,"Train","Lasso","Fin_clip_caudal","r2_0.05","nofilter",1,1.75712314396931,0.964636888039236
"Point","Point",83,"Validation","Lasso","Fin_clip_caudal","r2_0.05","nofilter",1,6.28192061777645,0.604386671122178
"Point","Point",84,"Train","Lasso","Fin_clip_caudal","r2_0.1","min10",1,4.13149165571371,0.699704041404099
"Point","Point",84,"Validation","Lasso","Fin_clip_caudal","r2_0.1","min10",1,6.66744187013374,0.826977413129573
"Point","Point",85,"Train","Lasso","Fin_clip_caudal","r2_0.1","min20",1,4.78475984953904,0.496889399495797
"Point","Point",85,"Validation","Lasso","Fin_clip_caudal","r2_0.1","min20",1,11.7051312463731,0.60711551168663
"Point","Point",86,"Train","Lasso","Fin_clip_caudal","r2_0.1","min5",1,0.162239411439462,0.999758231945471
"Point","Point",86,"Validation","Lasso","Fin_clip_caudal","r2_0.1","min5",1,4.29091276531616,0.545589248285014
"Point","Point",87,"Train","Lasso","Fin_clip_caudal","r2_0.1","nofilter",1,0.15527332827432,0.999770104048262
"Point","Point",87,"Validation","Lasso","Fin_clip_caudal","r2_0.1","nofilter",1,6.87400340168006,0.554895060632399
"Point","Point",88,"Train","Lasso","Fin_clip_caudal","r2_0.2","min10",1,0.679879593865536,0.996571910134384
"Point","Point",88,"Validation","Lasso","Fin_clip_caudal","r2_0.2","min10",1,10.9264788464405,0.737424266031295
"Point","Point",89,"Train","Lasso","Fin_clip_caudal","r2_0.2","min20",1,0.517381529792567,0.997042103659675
"Point","Point",89,"Validation","Lasso","Fin_clip_caudal","r2_0.2","min20",1,9.19349256377367,0.524106237616025
"Point","Point",90,"Train","Lasso","Fin_clip_caudal","r2_0.2","min5",1,0.159453555817281,0.999717598960372
"Point","Point",90,"Validation","Lasso","Fin_clip_caudal","r2_0.2","min5",1,8.53600929534101,0.631478662766404
"Point","Point",91,"Train","Lasso","Fin_clip_caudal","r2_0.2","nofilter",1,0.19089019448182,0.999499923680015
"Point","Point",91,"Validation","Lasso","Fin_clip_caudal","r2_0.2","nofilter",1,3.39757931297658,0.602733486399098
"Point","Point",92,"Train","Lasso","Fin_clip_caudal","r2_0.3","min10",1,0.222538776743493,0.999159789454156
"Point","Point",92,"Validation","Lasso","Fin_clip_caudal","r2_0.3","min10",1,10.0589453833953,0.622652142874591
"Point","Point",93,"Train","Lasso","Fin_clip_caudal","r2_0.3","min20",1,0.154466936587148,0.999635918562663
